Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.16517692048928131,-1.0616426325295985,0.007167578654515044,3,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.34485107408672844,1.6093861450790836,-0.11845369857830128,0,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.2823281913488035,0.6552565599071584,-0.2427341474381888,0,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.16554831469314488,-1.061637344961335,0.007175661141709303,3,Franko
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.16841771318890858,-1.6902974517873124,0.2149108786786541,3,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.14477164627408973,-1.0621225420834597,0.006752502971933436,3,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.16434348990420397,-1.0616479273841009,0.007148435146634395,3,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.164620913550309,-1.0616575503072039,0.007156550448354961,3,GoldCoin
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.32600767550287324,0.9812123585876504,-0.5304607064345057,0,HoboNickels
HYP,X11,PoS,1678520090.7713,0.0,-0.3416208237283628,1.117991306098288,-0.17117985602821556,0,HyperStake
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.5832625607031152,-1.0810430917064953,-0.03172374452850578,3,Infinite Coin
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.4007627634014597,1.1907848146427695,-0.4805982405244385,0,IOCoin
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.15050845992625256,-1.2665400411485477,0.16765127214661493,3,IXcoin
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.16191043051714066,-1.0617279654030634,0.007102435660377506,3,KrugerCoin
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.16526406725019105,-1.0616359434334814,0.007168641089781466,3,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.16561886120415806,-1.0616317988400077,0.0071765011113650145,3,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.42677857457173807,2.205725367445429,-0.7116387715251689,0,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.16487815160280875,-1.0616417617987868,0.007160292188801144,3,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.15655893338973148,-2.380685879481928,0.3465271105840447,3,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.02882421200797549,0.9152777332259245,-0.22779158055727225,0,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.1655001330080189,-1.0616350271806125,0.007174152736816973,3,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.2763590476177468,0.775545955830392,-0.37069678623991703,0,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.28862679074495284,0.907861221772138,-0.22043594771399738,0,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.2691197993590985,1.5554473710245966,-0.6451103883357924,0,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.030408817781167618,-1.0692432774290486,0.005104537329000369,3,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.15058606406854894,-1.2665422527979315,0.16765346874005818,3,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.1591644039578978,-1.0617044206301336,0.007033085423817581,3,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.269741941259572,1.555429640530967,-0.6450927785435957,0,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.33558927340258143,0.35269805236185964,-0.32258710536973306,0,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.3222513978207231,0.981090091635497,-0.5305319216958819,0,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.32635061692464673,0.9812194016803578,-0.5304535739235198,0,PhoenixCoin
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.030154142092497876,0.9914543822379027,-0.5405559469255045,0,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.16547957048614312,-1.0616428494768142,0.007174857953551298,3,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.16357394605877182,-1.0617635865907726,0.007147717071887227,3,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.1649663403964121,-1.0616513075059923,0.007163864983554455,3,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.3615052879974175,1.1174246164624093,-0.17061702416710037,0,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.40113430727441307,1.1907910418265366,-0.4805902983010296,0,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.13773876060053308,-1.2668388437145301,0.16739128246068485,3,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.257773581806358,0.3312828047325339,0.10207502927039269,0,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.1500498630734054,-1.2665468548792826,0.16764133548462468,3,TigerCoin
TIT,PHI1612,PoS,1622326490.46336,2300000000.0,-0.2976853804471531,1.7104778921564785,-0.30420762706894616,0,TittieCoin
TOR,X11,PoW/PoS,1431851.00002479,10000000.0,-0.40104595101094603,1.1907859167481791,-0.4805916291322496,0,TorCoin
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.1503370468800443,-1.2665512082563655,0.16764887774249726,3,TerraCoin
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.15032001378597873,-1.2665797697169305,0.1676528424518185,3,UnbreakableCoin
UNO,SHA-256,PoW,200911.79151896,250000.0,-0.15091071219664667,-1.2665356438523012,0.16766022973483108,3,Unobtanium
URO,X11,PoW,1207310.0,0.0,-0.23881274621621398,-0.8520887283522981,0.057006087177134714,3,UroCoin
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.3031826296155118,0.9807315523228719,-0.5309335793316486,0,UnitaryStatus Dollar
